iso2,year,v2x_corr,bci_bci,cc_rev,continent
MX,1990,0.778,55.742374,,Americas
MX,1991,0.778,55.819218,,Americas
MX,1992,0.778,55.893383,,Americas
MX,1993,0.778,55.968307,,Americas
MX,1994,0.694,56.063229,,Americas
MX,1995,0.678,56.133766,,Americas
MX,1996,0.678,56.196064,0.60248572,Americas
MX,1997,0.665,56.270401,,Americas
MX,1998,0.662,56.343132,0.59086906,Americas
MX,1999,0.662,56.408722,,Americas
MX,2000,0.565,56.470924,0.5491258,Americas
MX,2001,0.562,56.551292,,Americas
MX,2002,0.578,56.619587,0.53617204,Americas
MX,2003,0.589,56.688484,0.53341636,Americas
MX,2004,0.589,56.773846,0.5607909,Americas
MX,2005,0.589,56.826069,0.55420216,Americas
MX,2006,0.588,56.88139,0.55223398,Americas
MX,2007,0.588,57.089085,0.55452894,Americas
MX,2008,0.588,57.631229,0.54893944,Americas
MX,2009,0.588,57.898262,0.56020448,Americas
MX,2010,0.603,57.570065,0.57230984,Americas
MX,2011,0.603,57.172607,0.58042396,Americas
MX,2012,0.632,57.039368,0.58236478,Americas
MX,2013,0.76,57.898468,0.6024021,Americas
MX,2014,0.76,59.290359,0.65234176,Americas
MX,2015,0.744,59.732574,0.65318712,Americas
MX,2016,0.744,59.743553,0.64392138,Americas
MX,2017,0.694,60.455059,0.6855974,Americas
SR,1990,0.235,48.258488,,Americas
SR,1991,0.267,48.246712,,Americas
SR,1992,0.267,48.246403,,Americas
SR,1993,0.284,48.227962,,Americas
SR,1994,0.284,48.215527,,Americas
SR,1995,0.284,48.210777,,Americas
SR,1996,0.265,48.21384,0.46287058,Americas
SR,1997,0.265,48.219074,,Americas
SR,1998,0.265,48.212009,0.44461972,Americas
SR,1999,0.265,48.206078,,Americas
SR,2000,0.265,48.213253,0.40443376,Americas
SR,2001,0.265,48.197281,,Americas
SR,2002,0.265,48.199688,0.44405498,Americas
SR,2003,0.265,48.174351,0.43390982,Americas
SR,2004,0.265,48.179665,0.44469002,Americas
SR,2005,0.265,48.20562,0.45540976,Americas
SR,2006,0.265,48.209587,0.51966708,Americas
SR,2007,0.265,48.231411,0.50148312,Americas
SR,2008,0.266,48.269047,0.50420986,Americas
SR,2009,0.266,48.300621,0.55140046,Americas
SR,2010,0.271,48.355328,0.56598024,Americas
SR,2011,0.271,48.397579,0.55547916,Americas
SR,2012,0.271,49.930843,0.56677908,Americas
SR,2013,0.276,52.113529,0.5550784,Americas
SR,2014,0.276,53.682167,0.58865668,Americas
SR,2015,0.276,53.753735,0.5478224,Americas
SR,2016,0.317,53.783112,0.5606974,Americas
SR,2017,0.34,53.798836,0.5348667,Americas
SE,1990,0.009,16.317215,,Europe
SE,1991,0.009,16.049238,,Europe
SE,1992,0.009,15.763291,,Europe
SE,1993,0.009,15.463901,,Europe
SE,1994,0.009,15.164671,,Europe
SE,1995,0.009,14.89571,,Europe
SE,1996,0.009,14.595446,0.0652028,Europe
SE,1997,0.009,14.305753,,Europe
SE,1998,0.009,14.01631,0.054374,Europe
SE,1999,0.009,13.738009,,Europe
SE,2000,0.009,13.457004,0.040634,Europe
SE,2001,0.009,13.180214,,Europe
SE,2002,0.009,12.910497,0.0485214,Europe
SE,2003,0.009,12.649209,0.058552,Europe
