cntry,egp,degree,rinc_dec,rinc_qui,WEIGHT
AU,1,3,,,4.17022514343262
AU,,3,10,5,1.3100163936615
AU,1,5,1,1,1.25404560565948
AU,3,4,,,0.427083253860474
AU,3,3,7,4,4.17022514343262
AU,3,5,2,1,1.18421971797943
AU,,6,,,0.112528882920742
AU,2,6,,,0.763521432876587
AU,1,6,9,5,0.392705589532852
AU,,5,,,1.81836533546448
AU,1,6,8,4,0.574448645114899
AU,1,6,6,3,0.419917970895767
AU,1,4,8,4,0.590248465538025
AU,3,6,2,1,0.392705589532852
AU,3,5,3,2,0.322301119565964
AU,,6,8,4,0.419917970895767
AU,3,6,10,5,0.236821249127388
AU,3,5,1,1,0.76015692949295
AU,1,5,,,0.609394907951355
AU,1,6,8,4,0.419917970895767
AU,3,5,4,2,0.427083253860474
AU,2,5,,,0.76015692949295
AU,,1,,,0.830840945243835
AU,1,4,8,4,1.81836533546448
AU,2,5,,,0.590248465538025
AU,6,2,1,1,0.590248465538025
AU,,6,,,0.236821249127388
AU,,5,,,1.46961224079132
AU,2,5,,,0.76015692949295
AU,3,5,8,4,0.76015692949295
AU,,3,,,0.600213885307312
AU,2,5,10,5,0.827433943748474
AU,3,3,1,1,4.17022514343262
AU,1,5,7,4,1.46961224079132
AU,2,6,7,4,0.419917970895767
AU,1,6,8,4,0.392705589532852
AU,2,6,1,1,0.574448645114899
AU,3,5,,,0.76015692949295
AU,2,5,6,3,1.18421971797943
AU,6,3,,,1.59129226207733
AU,3,4,1,1,1.25404560565948
AU,,6,,,0.370061635971069
AU,1,5,,,0.76015692949295
AU,3,2,3,2,4.17022514343262
AU,,6,,,0.0992910787463188
AU,6,4,9,5,1.25404560565948
AU,1,3,9,5,0.76199734210968
AU,1,3,5,3,1.3100163936615
AU,1,5,,,0.609394907951355
AU,1,6,5,3,0.392705589532852
AU,,5,8,4,1.46961224079132
AU,1,4,,,0.590248465538025
AU,3,,,,0.830840945243835
AU,1,,9,5,4.17022514343262
AU,2,6,6,3,0.236821249127388
AU,7,2,2,1,0.614110946655273
AU,3,2,,,0.647050082683563
AU,6,4,6,3,1.81836533546448
AU,6,2,6,3,0.614110946655273
AU,6,2,2,1,0.590248465538025
AU,7,4,,,0.427083253860474
AU,2,6,4,2,0.112528882920742
AU,7,2,,,0.614110946655273
AU,7,1,1,1,0.830840945243835
AU,7,2,1,1,0.614110946655273
AU,3,5,,,0.860696852207184
AU,3,3,2,1,0.76199734210968
AU,3,2,,,0.427083253860474
AU,3,5,3,2,1.7400119304657
AU,7,2,1,1,1.12069725990295
AU,3,2,2,1,1.43512320518494
AU,2,5,5,3,0.609394907951355
AU,7,5,,,0.590248465538025
AU,1,6,10,5,0.419917970895767
AU,3,5,,,0.427083253860474
AU,2,2,4,2,0.614110946655273
AU,6,4,6,3,1.25404560565948
AU,1,5,9,5,0.358864277601242
AU,3,4,6,3,0.427083253860474
AU,3,4,2,1,0.427083253860474
AU,2,5,8,4,0.923985660076141
AU,3,4,2,1,0.427083253860474
AU,3,4,8,4,0.427083253860474
AU,2,6,1,1,0.0992910787463188
AU,1,6,9,5,0.112528882920742
AU,1,5,7,4,0.358864277601242
AU,2,5,7,4,0.874113976955414
AU,1,5,9,5,0.609394907951355
