party2007,party2011,party2015,n
"not 
voted","not 
voted","not 
voted",73
"not 
voted","not 
voted",PO,16
"not 
voted","not 
voted",PiS,19
"not 
voted","not 
voted",PSL,3
"not 
voted","not 
voted",Other,9
"not 
voted",PO,"not 
voted",6
"not 
voted",PO,PO,19
"not 
voted",PO,PiS,4
"not 
voted",PO,Other,4
"not 
voted",PiS,"not 
voted",6
"not 
voted",PiS,PiS,25
"not 
voted",PSL,"not 
voted",3
PO,"not 
voted","not 
voted",17
PO,"not 
voted",PO,15
PO,"not 
voted",PiS,9
PO,"not 
voted",Other,4
PO,PO,"not 
voted",20
PO,PO,PO,110
PO,PO,PiS,27
PO,PO,PSL,3
PO,PO,Left,3
PO,PO,Other,37
PO,PiS,"not 
voted",3
PO,PiS,PiS,15
PO,PSL,PiS,5
PO,PSL,Other,3
PO,Left,PO,4
PO,Other,PO,3
PO,Other,Other,5
PiS,"not 
voted","not 
voted",4
PiS,"not 
voted",PiS,15
PiS,PO,PO,6
PiS,PO,PiS,9
PiS,PiS,"not 
voted",5
PiS,PiS,PiS,98
PiS,PiS,Other,5
PiS,PSL,PiS,5
PiS,Other,PiS,3
PSL,"not 
voted",PO,3
PSL,"not 
voted",PiS,3
PSL,PiS,PiS,3
PSL,PSL,"not 
voted",3
PSL,PSL,PiS,8
PSL,PSL,PSL,12
Left,PO,PO,10
Left,PO,PiS,4
Left,PO,Other,3
Left,PiS,PiS,3
Left,Left,PO,5
Left,Left,Left,5
Other,"not 
voted",PiS,4
