t_survey_name,t_survey_edition,t_country_l1u,t_country_set,mean_hs,year,iso2c,iso3c,continent,obsValue
ABS,1,KR,1,85.08914100486223,2003,KR,KOR,Asia,73.189034
ABS,2,KR,1,79.8744770290083,2006,KR,KOR,Asia,76.661621
ABS,3,KR,1,84.82519261822044,2011,KR,KOR,Asia,81.38961
AFB,4,ZA,1,46.04203828635157,2008,ZA,ZAF,Africa,37.205173
AMB,2006,CA,1,87.58782201405153,2006,CA,CAN,Americas,85.542847
AMB,2006,US,1,95.29702970297029,2006,US,USA,Americas,87.796486
AMB,2008,CA,1,93.04229195088676,2007,CA,CAN,Americas,86.50515
ASES,,DE,1,28.553770086526576,2e3,DE,DEU,Europe,81.726166
ASES,,ES,1,74.3975903614458,2e3,ES,ESP,Europe,38.594109
ASES,,FR,1,77.82312925170068,2e3,FR,FRA,Europe,62.240974
ASES,,GR,1,57.62237762237762,2e3,GR,GRC,Europe,49.287651
ASES,,IE,1,85.3146853146853,2e3,IE,IRL,Europe,57.293076
ASES,,IT,1,51.80412371134021,2e3,IT,ITA,Europe,42.113556
ASES,,KR,1,82.27215980024968,2e3,KR,KOR,Asia,68.309593
ASES,,PT,1,33.43151693667157,2e3,PT,PRT,Europe,19.374249
ASES,,SE,1,73.09236947791165,2e3,SE,SWE,Europe,77.551811
CDCEE,2,CZ,1,81.33903133903134,2001,CZ,CZE,Europe,86.208366
CDCEE,2,EE,1,78.05074256844098,2001,EE,EST,Europe,86.230759
CDCEE,2,HU,1,40.36697247706422,1999,HU,HUN,Europe,67.34008
CDCEE,2,LV,1,88.73716861291877,1998,LV,LVA,Europe,82.863884
CDCEE,2,PL,1,46.13914634607018,2e3,PL,POL,Europe,79.880562
CDCEE,2,SK,1,22.056833558863328,2001,SK,SVK,Europe,85.120056
CNEP,3,ES,1,47.7439736106593,2004,ES,ESP,Europe,45.363956
CNEP,3,HU,1,46.89262105785612,2006,HU,HUN,Europe,78.073502
CNEP,3,MX,1,37.96169630642955,2006,MX,MEX,Americas,29.026882
CNEP,3,PT,1,24.08818050501172,2005,PT,PRT,Europe,26.450506
EQLS,1,BE,1,88.15100211363456,2003,BE,BEL,Europe,62.047859
EQLS,1,CZ,1,81.20036940154367,2003,CZ,CZE,Europe,86.419296
EQLS,1,DE,1,96.88348786131598,2003,DE,DEU,Europe,83.377304
EQLS,1,DK,1,52.619338275729874,2003,DK,DNK,Europe,80.553185
EQLS,1,EE,1,89.02801073161241,2003,EE,EST,Europe,87.644829
EQLS,1,ES,1,59.54951059522984,2003,ES,ESP,Europe,43.659084
EQLS,1,FI,1,78.74283708804678,2003,FI,FIN,Europe,76.040253
EQLS,1,FR,1,75.04272537466673,2003,FR,FRA,Europe,65.222137
EQLS,1,GB,1,98.76606428867693,2003,GB,GBR,Europe,65.078514
EQLS,1,GR,1,72.45961573296962,2003,GR,GRC,Europe,53.547493
EQLS,1,HU,1,78.19456433949838,2003,HU,HUN,Europe,74.072205
EQLS,1,IE,1,85.50898907048577,2003,IE,IRL,Europe,61.701839
EQLS,1,IT,1,67.12182278843478,2003,IT,ITA,Europe,48.413567
EQLS,1,LV,1,86.27363634005297,2003,LV,LVA,Europe,82.965668
EQLS,1,NL,1,86.64064355207499,2003,NL,NLD,Europe,69.223999
EQLS,1,PL,1,83.58580726458837,2003,PL,POL,Europe,82.620216
EQLS,1,PT,1,36.15631969272254,2003,PT,PRT,Europe,22.821323
EQLS,1,SE,1,84.4248129425636,2003,SE,SWE,Europe,82.199974
EQLS,1,SI,1,82.04246120638379,2003,SI,SVN,Europe,78.13942
EQLS,1,SK,1,80.4242882718904,2003,SK,SVK,Europe,86.699448
EQLS,1,TR,1,33.82202208851566,2003,TR,TUR,Asia,26.463917
EQLS,2,AT,1,74.68660583420423,2007,AT,AUT,Europe,79.937111
EQLS,2,BE,1,80.76276919682401,2007,BE,BEL,Europe,67.953423
EQLS,2,CZ,1,90.47732444023366,2007,CZ,CZE,Europe,90.534775
EQLS,2,DE,1,55.83331089900514,2007,DE,DEU,Europe,84.415092
EQLS,2,DK,1,82.75012696361405,2007,DK,DNK,Europe,74.278008
EQLS,2,EE,1,84.16640707331288,2007,EE,EST,Europe,88.840324
EQLS,2,ES,1,53.66765646961797,2007,ES,ESP,Europe,50.641071
EQLS,2,FI,1,87.15946947670503,2007,FI,FIN,Europe,80.509682
EQLS,2,FR,1,79.67378985382778,2007,FR,FRA,Europe,68.467201
EQLS,2,GB,1,91.79643276711157,2007,GB,GBR,Europe,72.192711
EQLS,2,GR,1,63.51097126481846,2007,GR,GRC,Europe,60.077728
EQLS,2,HU,1,48.20017221548138,2007,HU,HUN,Europe,79.205826
EQLS,2,IE,1,63.46172358685044,2007,IE,IRL,Europe,67.726212
EQLS,2,IT,1,68.8509946973199,2007,IT,ITA,Europe,52.299706
EQLS,2,LT,1,88.59368860405706,2007,LT,LTU,Europe,88.931122
EQLS,2,LV,1,86.87713362248722,2007,LV,LVA,Europe,84.635849
EQLS,2,NL,1,81.3093620474557,2007,NL,NLD,Europe,73.183136
EQLS,2,NO,1,89.25148747867709,2007,NO,NOR,Europe,78.925552
EQLS,2,PL,1,86.57977283371878,2007,PL,POL,Europe,86.301636
EQLS,2,PT,1,27.670594828700096,2007,PT,PRT,Europe,27.455584
EQLS,2,SE,1,89.93622473405819,2007,SE,SWE,Europe,84.588028
EQLS,2,SI,1,87.44462454051423,2007,SI,SVN,Europe,81.818344
EQLS,2,SK,1,95.88009744981531,2007,SK,SVK,Europe,89.159355
EQLS,2,TR,1,29.14104287452264,2007,TR,TUR,Asia,29.591669
EQLS,3,AT,1,93.31728051409998,2011,AT,AUT,Europe,82.363174
EQLS,3,BE,1,73.8545440704986,2011,BE,BEL,Europe,71.266708
EQLS,3,CZ,1,77.06662358702926,2011,CZ,CZE,Europe,92.332268
EQLS,3,DE,1,67.39628894033517,2011,DE,DEU,Europe,86.250374
EQLS,3,DK,1,86.6323529207697,2011,DK,DNK,Europe,76.896858
EQLS,3,EE,1,71.44214970620143,2011,EE,EST,Europe,89.010262
EQLS,3,ES,1,68.06942906278431,2011,ES,ESP,Europe,54.039322
EQLS,3,FI,1,90.57731770877156,2011,FI,FIN,Europe,83.724312
EQLS,3,FR,1,83.06374161138572,2011,FR,FRA,Europe,71.614449
EQLS,3,GB,1,50.6287233572127,2011,GB,GBR,Europe,76.832535
EQLS,3,GR,1,69.61423778016814,2011,GR,GRC,Europe,64.554779
EQLS,3,HU,1,82.81211726762386,2011,HU,HUN,Europe,81.767838
EQLS,3,IE,1,74.02219586841551,2011,IE,IRL,Europe,73.634674
EQLS,3,IS,1,84.9152993664101,2012,IS,ISL,Europe,70.792191
EQLS,3,IT,1,72.021674078308,2011,IT,ITA,Europe,56.028461
EQLS,3,LT,1,93.27237870700694,2011,LT,LTU,Europe,92.866814
EQLS,3,LV,1,87.29172179675894,2011,LV,LVA,Europe,87.937782
