iso3c,year,obsValue
AUS,1989,55.349361
AUS,1991,55.872944
AUS,1993,52.840954
AUS,1994,50.197975
AUS,1995,55.064148
AUS,1997,53.304726
AUS,1998,56.044041
AUS,1999,57.389915
AUS,2e3,58.787689
AUS,2001,58.923859
AUS,2002,60.949684
AUS,2003,62.480183
AUS,2004,64.120964
AUS,2005,65.032036
AUS,2006,66.710159
AUS,2007,68.183266
AUS,2008,69.935982
AUS,2009,71.027481
AUS,2010,73.20726
AUS,2011,74.077461
AUS,2012,76.436607
AUS,2013,75.715569
AUS,2014,77.104164
AUS,2015,79.019104
AUS,2016,79.932648
AUT,1997,NA
AUT,1998,NA
AUT,1999,NA
AUT,2e3,NA
AUT,2001,NA
AUT,2002,NA
AUT,2004,76.33374
AUT,2005,76.944931
AUT,2006,80.128387
AUT,2007,79.937111
AUT,2008,80.879913
AUT,2009,81.64502
AUT,2010,82.352501
AUT,2011,82.363174
AUT,2012,82.916466
AUT,2013,82.972
AUT,2014,83.856003
AUT,2015,84.648697
AUT,2016,84.528412
BEL,1989,37.276417
BEL,1991,43.16925
BEL,1992,45.263088
BEL,1994,49.362816
BEL,1995,53.454582
BEL,2e3,58.52322
BEL,2001,59.463558
BEL,2002,60.803383
BEL,2003,62.047859
BEL,2004,64.291756
BEL,2005,66.096245
BEL,2006,66.942078
BEL,2007,67.953423
BEL,2008,69.57618
BEL,2009,70.572891
BEL,2010,70.499512
BEL,2011,71.266708
BEL,2012,71.643631
BEL,2013,72.758354
BEL,2014,73.550652
BEL,2015,74.677101
BEL,2016,75.094162
CAN,1981,61.046013
CAN,1990,68.965996
CAN,1991,70.00341
CAN,1992,71.33548
CAN,1993,73.310364
CAN,1994,73.849373
CAN,1995,75.137054
CAN,1996,76.351952
CAN,1997,77.754036
CAN,1998,78.679764
CAN,1999,79.582794
CAN,2e3,80.667519
CAN,2001,81.988251
CAN,2002,82.678093
CAN,2003,83.732475
CAN,2004,84.313499
CAN,2005,85.183495
CAN,2006,85.542847
CAN,2007,86.50515
CAN,2008,86.996475
CAN,2009,87.531929
CAN,2010,88.263115
CAN,2011,88.631523
CAN,2012,88.964676
CAN,2013,89.542206
CAN,2014,89.988541
CAN,2015,90.402107
CAN,2016,90.60881
CZE,1994,82.740585
CZE,1995,83.365257
CZE,1997,84.955345
CZE,1998,85.339081
CZE,1999,86.044456
CZE,2e3,85.942017
CZE,2001,86.208366
CZE,2002,87.927078
CZE,2003,86.419296
CZE,2004,89.076393
CZE,2005,89.9254
CZE,2006,90.279709
CZE,2007,90.534775
CZE,2008,90.903305
