idno,cntry,pspwght,polintr,nwspol,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,eduyrs,eisced,isco08,domicil,agea,gndr,hincfel,hinctnta,hhmmb,female,city,age,age_10,hhsize5
1002,PL,1.0525062084198,1,1,2,1,1,1,1,1,1,1,1,18,7,2330,4,35,2,2,7,3,1,0,35,3.5,3
1004,PL,0.862429678440094,1,2,2,1,1,1,1,1,1,1,2,12,2,3123,5,56,1,1,1,2,0,0,56,5.6,2
1005,PL,1.17886745929718,1,2,2,1,1,1,1,1,1,1,1,11,2,6113,3,52,1,2,1,4,0,0,52,5.2,4
1013,PL,1.10279631614685,1,1,1,1,1,1,1,1,1,1,1,,7,2341,4,80,2,1,2,1,1,0,80,8,1
1014,PL,0.825017333030701,1,2,1,1,1,1,1,1,1,1,1,8,2,6130,4,78,1,2,3,2,0,0,78,7.8,2
1015,PL,1.1780960559845,1,1,2,1,1,1,1,1,1,1,1,13,3,5131,3,33,2,2,3,3,1,0,33,3.3,3
1021,PL,1.10279631614685,1,2,2,1,1,1,1,1,1,1,1,7,2,9211,4,77,2,0,,5,1,0,77,7.7,5
1037,PL,0.948438346385956,1,2,2,2,1,1,1,1,1,2,2,13,3,6121,4,29,1,0,1,1,0,0,29,2.9,1
1038,PL,0.948779106140137,1,1,,1,1,1,1,1,1,1,1,10,2,,4,17,2,3,,3,1,0,17,1.7,3
1053,PL,1.01067137718201,1,1,2,1,1,1,1,1,1,1,1,15,4,1420,3,56,2,2,4,2,1,0,56,5.6,2
1055,PL,1.16951298713684,1,2,2,1,1,1,2,1,1,1,2,13,4,3113,3,32,1,2,4,2,0,0,32,3.2,2
1065,PL,1.07360327243805,1,2,2,1,1,1,2,1,2,2,1,10,3,5223,1,59,2,1,4,2,1,1,59,5.9,2
1066,PL,1.16993319988251,1,1,1,1,1,1,1,1,1,1,1,10,2,5223,3,33,2,2,7,6,1,0,33,3.3,5
1069,PL,1.07623732089996,1,1,2,1,1,1,1,1,1,1,1,18,6,4224,4,26,1,1,2,1,0,0,26,2.6,1
1071,PL,0.784097135066986,1,1,,1,1,1,1,1,1,1,1,11,2,,4,19,2,2,4,4,1,0,19,1.9,4
1074,PL,1.098841547966,1,1,2,1,1,1,1,2,1,1,1,12,4,4132,3,24,2,2,5,3,1,0,24,2.4,3
