essround,cntry,trstprl,pspwght,party,vote_gov,vote_po_pis_sld
1,PL,5,0.93115684054321,4,0,-1
1,PL,6,1.54311389458613,1,1,3
1,PL,5,0.785531821204631,1,1,3
1,PL,5,1.15986862091722,4,0,-1
1,PL,3,1.37830869410883,1,1,3
1,PL,0,1.3675424441943,7,0,1
1,PL,0,0.891164494839875,1,1,3
1,PL,10,1.20098154558018,1,1,3
1,PL,3,0.762626577023357,1,1,3
1,PL,0,1.13283297760889,1,1,3
1,PL,2,0.836938774116285,1,1,3
1,PL,0,0.830401274901628,4,0,-1
1,PL,0,0.719090302440569,5,0,2
1,PL,0,1.07753538789109,1,1,3
1,PL,8,1.07350342919604,6,1,-1
1,PL,4,0.776495322506374,6,1,-1
1,PL,1,1.1996785857524,1,1,3
1,PL,4,0.655135114180404,5,0,2
1,PL,3,1.13625908298871,6,1,-1
1,PL,5,0.933876844373146,1,1,3
1,PL,5,1.19030765199386,6,1,-1
1,PL,5,1.09124857349947,6,1,-1
1,PL,1,0.669423923449589,7,0,1
1,PL,5,1.15986862091722,1,1,3
1,PL,2,1.00217522358235,1,1,3
1,PL,0,1.23358997458815,2,0,-1
1,PL,6,1.05410411945635,2,0,-1
1,PL,5,0.817278387905938,4,0,-1
1,PL,2,1.02454734137087,1,1,3
1,PL,2,0.953379378819042,10,0,-1
1,PL,8,0.871926690655732,1,1,3
1,PL,5,0.916659962996743,1,1,3
1,PL,0,1.07350342919604,6,1,-1
1,PL,4,1.07113352117619,1,1,3
1,PL,4,0.916659962996743,5,0,2
1,PL,2,1.05296050877639,1,1,3
1,PL,1,0.870803986958244,1,1,3
1,PL,1,1.37830869410883,1,1,3
1,PL,4,1.14407298206068,1,1,3
1,PL,3,1.21871495805093,6,1,-1
1,PL,3,0.850506217402018,3,0,-1
1,PL,3,1.13625908298871,2,0,-1
1,PL,8,0.795026783882242,10,0,-1
1,PL,4,0.920253963444872,6,1,-1
1,PL,5,0.891297733034573,1,1,3
1,PL,1,1.3675424441943,6,1,-1
1,PL,2,1.0576430242294,4,0,-1
1,PL,5,1.04288752206313,4,0,-1
1,PL,2,0.861428821696017,1,1,3
1,PL,5,1.35064668060962,1,1,3
1,PL,6,1.19030765199386,1,1,3
1,PL,4,1.02109808204942,1,1,3
1,PL,5,0.950349519274388,2,0,-1
1,PL,3,0.998722270396297,6,1,-1
1,PL,3,0.726922439924296,10,0,-1
1,PL,5,1.46105805479458,1,1,3
1,PL,5,0.768022616217561,2,0,-1
1,PL,3,1.11820019468957,6,1,-1
1,PL,3,0.803131220556996,7,0,1
1,PL,4,1.14415394034044,1,1,3
1,PL,3,0.859998940079266,1,1,3
1,PL,3,1.00217522358235,7,0,1
1,PL,5,0.726922439924296,1,1,3
1,PL,4,0.984526316637952,1,1,3
1,PL,2,1.0743721393473,2,0,-1
1,PL,,1.12559319786525,1,1,3
1,PL,5,1.10856438988737,3,0,-1
1,PL,10,1.04848708625068,2,0,-1
1,PL,6,1.47523673728835,1,1,3
1,PL,3,0.9292406496633,1,1,3
1,PL,4,1.04288752206313,1,1,3
1,PL,0,0.983122191939473,3,0,-1
1,PL,3,0.706180951874413,1,1,3
1,PL,3,0.715567884778203,5,0,2
1,PL,4,0.866032781093727,1,1,3
1,PL,3,0.67616235401145,2,0,-1
1,PL,7,0.84585122185084,7,0,1
1,PL,4,0.973780466977394,1,1,3
1,PL,3,0.881987264837429,1,1,3
1,PL,3,0.730615421510034,4,0,-1
1,PL,0,1.34819648586244,1,1,3
1,PL,3,1.40346311848296,4,0,-1
1,PL,,1.02529830037271,4,0,-1
1,PL,5,1.14520450863676,1,1,3
1,PL,4,0.84585122185084,1,1,3
1,PL,0,1.05146853034738,1,1,3
1,PL,5,1.10757643948818,4,0,-1
1,PL,5,0.859228266862834,1,1,3
1,PL,5,0.972273092483329,1,1,3
1,PL,10,0.98144674740172,1,1,3
1,PL,5,0.827200650894297,1,1,3
1,PL,4,1.13518547127321,1,1,3
1,PL,5,0.860491957280122,10,0,-1
1,PL,4,0.622047294239458,3,0,-1
1,PL,3,1.23358997458815,2,0,-1
1,PL,3,0.983122191939473,1,1,3
1,PL,5,0.622047294239458,5,0,2
1,PL,3,1.31536454113958,3,0,-1
1,PL,5,1.02340245279526,3,0,-1
1,PL,2,0.84585122185084,3,0,-1
1,PL,2,1.30588885324078,2,0,-1
1,PL,3,0.956164296943315,10,0,-1
1,PL,3,1.126202520162,1,1,3
1,PL,4,1.06186079695626,1,1,3
1,PL,3,1.10946570523742,1,1,3
1,PL,8,1.35064668060962,1,1,3
1,PL,3,0.757110753224745,2,0,-1
1,PL,4,1.02340245279526,7,0,1
1,PL,3,0.91748458792009,1,1,3
1,PL,5,0.859228266862834,6,1,-1
1,PL,5,1.00821549278646,1,1,3
1,PL,7,0.655135114180404,5,0,2
1,PL,10,0.859904986743354,1,1,3
1,PL,2,0.920253963444872,1,1,3
1,PL,7,0.99553289226938,1,1,3
1,PL,8,0.726922439924296,5,0,2
1,PL,3,0.663491523720405,1,1,3
1,PL,3,0.898183989256554,2,0,-1
1,PL,4,0.979014353962479,1,1,3
1,PL,2,0.840326582908943,2,0,-1
1,PL,7,1.1996785857524,4,0,-1
1,PL,5,0.709978438298428,7,0,1
1,PL,4,1.20681662420748,3,0,-1
1,PL,5,0.797868562899391,7,0,1
1,PL,0,0.712128651795497,1,1,3
1,PL,0,0.727555709189624,1,1,3
1,PL,2,1.02109808204942,1,1,3
1,PL,5,1.23358997458815,4,0,-1
1,PL,4,1.18796610431953,7,0,1
1,PL,2,0.910376274020241,7,0,1
1,PL,3,1.08272460864937,2,0,-1
1,PL,,0.658160749666719,1,1,3
1,PL,1,0.76405211650577,6,1,-1
1,PL,4,1.02933588159313,1,1,3
1,PL,6,0.771743075780405,1,1,3
1,PL,5,1.31297835137166,1,1,3
1,PL,5,0.895044807592704,1,1,3
1,PL,1,0.93115684054321,6,1,-1
1,PL,2,1.05673526629878,4,0,-1
1,PL,6,0.858405866405801,1,1,3
1,PL,3,0.891297733034573,1,1,3
1,PL,6,0.791777428400215,10,0,-1
1,PL,7,0.712128651795497,3,0,-1
1,PL,4,0.972057886220368,1,1,3
1,PL,2,1.11135969312885,7,0,1
1,PL,0,0.913896003898237,1,1,3
1,PL,7,0.780507594434558,1,1,3
1,PL,4,1.10856438988737,1,1,3
1,PL,0,0.930265594478845,2,0,-1
1,PL,5,0.816059296618965,2,0,-1
1,PL,3,1.01728948653736,1,1,3
1,PL,3,1.01807763352035,10,0,-1
1,PL,3,0.680326032875462,2,0,-1
1,PL,6,0.953379378819042,2,0,-1
1,PL,8,0.757110753224745,1,1,3
1,PL,4,0.818215783548937,1,1,3
1,PL,2,1.11820019468957,6,1,-1
1,PL,1,1.12559319786525,2,0,-1
1,PL,4,0.790161122337023,7,0,1
1,PL,6,0.972057886220368,6,1,-1
1,PL,,0.935706603404665,4,0,-1
1,PL,4,0.741087795085992,10,0,-1
1,PL,4,0.702011057186969,2,0,-1
1,PL,3,0.823712574582404,2,0,-1
1,PL,3,0.813401892818733,1,1,3
1,PL,5,1.04288752206313,6,1,-1
1,PL,5,0.716513804264201,1,1,3
1,PL,3,0.98144674740172,8,0,-1
1,PL,3,1.05673526629878,6,1,-1
1,PL,3,1.04848708625068,1,1,3
1,PL,3,0.771743075780405,1,1,3
1,PL,8,0.921090831975146,1,1,3
1,PL,6,0.67616235401145,1,1,3
1,PL,2,0.873781388779369,1,1,3
1,PL,5,0.933876844373146,1,1,3
1,PL,7,0.916659962996743,1,1,3
1,PL,3,0.979830016020052,2,0,-1
1,PL,0,1.21871495805093,10,0,-1
1,PL,2,0.663491523720405,5,0,2
1,PL,5,1.14520450863676,1,1,3
1,PL,5,1.20501355650354,1,1,3
1,PL,5,1.09371950173832,1,1,3
1,PL,7,0.857201996775653,1,1,3
1,PL,7,1.08272460864937,1,1,3
1,PL,2,1.20974454411016,2,0,-1
1,PL,3,0.952995504014827,1,1,3
1,PL,4,1.05673526629878,2,0,-1
1,PL,4,0.836783158172841,1,1,3
1,PL,4,1.06186079695626,1,1,3
1,PL,7,0.827200650894297,3,0,-1
1,PL,7,0.721212027927788,5,0,2
1,PL,3,0.681418408959172,1,1,3
1,PL,5,0.91830604735303,4,0,-1
1,PL,4,0.78260843638818,1,1,3
1,PL,5,1.46105805479458,6,1,-1
1,PL,5,0.967489450088573,6,1,-1
1,PL,3,1.10868278094722,1,1,3
1,PL,4,0.994353699950727,3,0,-1
1,PL,6,1.06186079695626,6,1,-1
1,PL,4,0.943844806787475,1,1,3
1,PL,2,1.24330165704076,10,0,-1
1,PL,1,0.835534972643515,7,0,1
1,PL,8,1.10121807236111,1,1,3
1,PL,2,1.04473561979755,3,0,-1
1,PL,1,1.05673526629878,6,1,-1
1,PL,0,0.989185867654143,1,1,3
1,PL,1,1.3707494752449,10,0,-1
1,PL,5,1.01893068786919,1,1,3
1,PL,0,0.757110753224745,10,0,-1
1,PL,1,1.04532563539792,6,1,-1
1,PL,5,0.989185867654143,1,1,3
1,PL,7,1.03270579432056,1,1,3
1,PL,8,0.994289972854376,6,1,-1
1,PL,3,0.840326582908943,7,0,1
1,PL,2,1.13594367653813,4,0,-1
1,PL,2,0.762626577023357,6,1,-1
1,PL,5,1.08574547016969,1,1,3
1,PL,4,1.09322812204915,1,1,3
1,PL,0,1.21472118220044,3,0,-1
1,PL,3,0.845846224667659,5,0,2
1,PL,8,0.935706603404665,1,1,3
1,PL,1,0.712128651795497,7,0,1
1,PL,3,0.916659962996743,1,1,3
1,PL,5,1.04848089192017,6,1,-1
1,PL,0,0.91830604735303,1,1,3
1,PL,0,0.771743075780405,1,1,3
1,PL,4,0.721212027927788,1,1,3
1,PL,3,0.967489450088573,1,1,3
1,PL,5,0.874146152206344,1,1,3
1,PL,1,0.841333857476993,3,0,-1
